subj.id,focal.id.old,uni.id,date,time,gutt.score,right.hand,left.hand,both.hands,total
Naina,NA,426,2024.10.28,NA,0.6,0,1,0,1
Naina,NA,427,2024.10.28,NA,0.6,0,1,0,1
Pinky,665,428,2024.10.28,NA,0.8,11,0,0,11
Quindoline,662,429,2024.10.28,NA,0.8,12,0,0,12
Quindoline,662,430,2024.10.28,NA,0.2,0,1,0,1
Robin,658,431,2024.10.28,NA,0.8,0,12,0,12
Vula,663,432,2024.10.28,NA,0.8,0,49,0,49
Yaiko,660,433,2024.10.28,NA,0.8,1,0,0,1
Santa,676,434,2024.10.29,16:49:34,0.6,0,1,0,1
Belanda,NA,435,2024.10.29,NA,0.2,1,0,0,1
Betina,669,436,2024.10.29,NA,0.8,0,5,0,5
Betina,669,437,2024.10.29,NA,0.2,0,5,0,5
Granny,672,438,2024.10.29,NA,0.8,0,5,0,5
Harley,671,439,2024.10.29,NA,0.8,0,28,0,28
Harley,671,440,2024.10.29,NA,0.2,0,4,0,4
Iyla,670,441,2024.10.29,NA,0.8,12,0,0,12
Iyla,670,442,2024.10.29,NA,0.2,9,0,0,9
Iyla,675,443,2024.10.29,NA,0.2,1,0,0,1
Naina,673,444,2024.10.29,NA,0.2,0,17,0,17
Oreo,668,445,2024.10.29,NA,0.8,0,17,0,17
Oreo,668,446,2024.10.29,NA,0.2,0,1,0,1
Santa,676,447,2024.10.29,NA,0.8,0,10,0,10
