subj.id,focal.id.old,date,time,gutt.score,right.hand,left.hand,both.hands,total,comments
Ted,462,2024.08.19,,0.8,45,0,0,45,
Iyla,463,2024.08.19,,0.8,9,0,0,9,
Lip,464,2024.08.20,,0.8,0,92,0,92,
Aura,466,2024.08.20,,0.8,26,0,0,26,
Betina,467,2024.08.22,,0.8,0,1,0,1,
Santa,468,2024.08.22,,0.8,0,45,0,45,
Granny,469,2024.08.22,,0.8,0,32,0,32,
Kaya,470,2024.08.22,,0.8,0,3,0,3,
Aura,479,2024.08.22,,0.8,2,0,0,2,
Naina,480,2024.08.22,,0.8,0,8,0,8,
Iyla,481,2024.08.22,,0.8,3,0,0,3,
Lip,483,2024.08.23,,0.8,0,14,0,14,
Cacao,484,2024.08.23,,0.8,25,0,0,25,
Taipan,485,2024.08.23,,0.8,36,0,0,36,
Whitney,486,2024.08.23,,0.8,5,0,0,5,
Vula,487,2024.08.23,,0.8,0,92,0,92,
Jim_lim,488,2024.08.23,,0.8,0,12,0,12,
Quindoline,495,2024.08.23,,0.8,96,0,0,96,
Iyla,496,2024.08.23,,0.8,8,0,0,8,
Aura,497,2024.08.24,,0.8,10,0,0,10,
Dandi,500,2024.08.24,,0.8,0,1,0,1,
Pinky,501,2024.08.27,,0.8,28,0,0,28,
Vula,503,2024.08.27,,0.8,0,25,0,25,
Naina,504,2024.08.27,,0.8,0,2,0,2,
Robin,505,2024.08.27,,0.8,0,48,0,48,
Cacao,506,2024.08.27,,0.8,11,0,0,11,
Lip,507,2024.08.27,,0.8,0,50,0,50,
Vula,517,2024.08.29,,0.8,0,35,0,35,
Naina,518,2024.08.29,,0.8,0,4,0,4,
Quindoline,521,2024.08.29,,0.8,46,0,0,46,
Aura,522,2024.08.29,,0.8,62,0,0,62,
Yaiko,523,2024.08.29,,0.8,7,0,0,7,
Pat,524,2024.08.29,,0.8,2,0,0,2,
Granny,525,2024.08.29,,0.8,0,13,0,13,
Lip,526,2024.08.29,,0.8,0,14,0,14,
Lip,529,2024.08.30,,0.8,0,36,0,36,
Harley,531,2024.08.30,,0.8,0,45,0,45,
Vula,533,2024.08.30,,0.8,0,46,0,46,
Pinky,534,2024.08.30,,0.8,36,0,0,36,
Granny,535,2024.08.30,,0.8,0,31,0,31,
Kaya,536,2024.08.30,,0.8,0,28,0,28,
Naina,537,2024.08.30,,0.8,0,9,0,9,
Oreo,539,2024.02.09,,0.8,0,1,0,1,
Dandi,551,2024.02.09,,0.8,0,19,0,19,
Cacao,552,2024.02.09,,0.8,12,0,0,12,
Lip,553,2024.02.09,,0.8,0,76,0,76,
Flame,554,2024.02.09,,0.8,0,5,0,5,
Yaiko,555,2024.04.09,,0.8,44,0,0,44,
Flame,557,2024.04.09,,0.8,0,2,0,2,
Robin,558,2024.04.09,,0.8,0,1,0,1,
Aura,568,2024.04.09,,0.8,9,0,0,9,
Harley,570,2024.04.09,,0.8,0,33,0,33,
Lip,572,2024.06.09,,0.8,0,11,0,11,
Lip,572,2024.06.09,,0.2,0,1,0,1,
Dandi,573,2024.06.09,,0.8,0,3,0,3,
Naina,583,2024.06.09,,0.8,0,40,0,40,
Whitney,584,2024.06.09,,0.8,18,0,0,18,
Aura,585,2024.06.09,,0.8,28,0,0,28,
Flame,587,2024.07.09,,0.8,0,23,0,23,
Taipan,588,2024.07.09,,0.8,71,0,0,71,
Yaiko,589,2024.07.09,,0.8,30,0,0,30,
Naina,591,2024.07.09,,0.8,0,36,0,36,
Naina,592,2024.10.09,,0.8,0,1,0,1,
Pinky,593,2024.10.09,,0.8,70,0,0,70,
Oreo,594,2024.10.09,,0.8,0,15,0,15,
Aura,595,2024.10.09,,0.8,18,0,0,18,
Iyla,596,2024.10.09,,0.8,13,0,0,13,
Robin,598,2024.10.09,,0.8,0,16,0,16,
Kaya,599,2024.10.09,,0.8,0,2,0,2,
Vula,603,2024.09.10,12:32:51,0.6,0,1,0,1,
Vula,603,2024.09.10,12:33:45,0.6,0,1,0,1,
Granny,608,2024.10.09,,0.8,0,50,0,50,
Jim_lim,609,2024.10.09,,0.8,0,17,0,17,
Babosa,610,2024.10.19,,0.8,8,5,10,23,
Jim_lim,611,2024.10.19,,0.8,0,53,0,53,
Oreo,612,2024.10.19,,0.8,0,38,0,38,
Granny,613,2024.10.19,,0.8,0,55,0,55,
Robin,615,2024.10.20,,0.8,0,32,0,32,
Dandi,616,2024.10.21,,0.8,0,6,0,6,
Dandi,616,2024.10.21,,0.2,0,2,0,2,
Aura,617,2024.10.21,,0.8,1,0,0,1,
Aura,617,2024.10.21,,0.2,1,0,0,1,
Cacao,618,2024.10.21,,0.8,13,0,0,13,
Jim_lim,620,2024.10.21,,0.8,0,6,0,6,
Quindoline,625,2024.10.21,,0.8,65,0,0,65,
Robin,626,2024.10.23,,0.8,0,43,0,43,
Iyla,627,2024.10.23,,0.8,46,0,0,46,
Iyla,627,2024.10.23,,0.2,3,0,0,3,
Jim_lim,628,2024.10.23,,0.8,0,31,0,31,
Jim_lim,628,2024.10.23,,0.2,0,1,0,1,
Jim_lim,628,2024.10.23,,0.4,0,1,0,1,
Aura,629,2024.10.23,,0.8,31,0,0,31,
Aura,629,2024.10.23,,0.2,2,0,0,2,
Granny,630,2024.10.23,,0.8,0,32,0,32,
Granny,630,2024.10.23,,0.2,0,9,0,9,
Kaya,631,2024.10.23,,0.8,0,4,0,4,
Pinky,639,2024.10.25,,0.8,14,0,0,14,
Vula,640,2024.10.25,,0.8,0,87,0,87,
Granny,641,2024.10.25,,0.8,0,26,0,26,
Granny,641,2024.10.25,,0.2,0,1,0,1,
Betina,642,2024.10.25,,0.8,0,7,0,7,
Pat,643,2024.10.25,,0.8,31,0,0,31,
Lip,644,2024.10.25,,0.8,0,69,0,69,
Quindoline,645,2024.10.25,,0.8,2,0,0,2,
Cacao,647,2024.10.25,,0.8,34,0,0,34,
